,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,dgd_window
42,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
43,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
44,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
45,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
46,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
47,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
48,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
49,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
50,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
51,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
52,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
53,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
54,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
55,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
56,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
57,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
58,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
59,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
60,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
61,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
62,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
63,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
64,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
65,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
66,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
67,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
68,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
69,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
70,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
71,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
72,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
73,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
74,,,1,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
0,274.13812255859375,572.2605590820312,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
1,439.01849365234375,2.7717026730182925e+21,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
2,3.034263094243946e+21,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
3,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
4,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
5,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
6,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
7,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
8,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
9,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
10,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
11,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
12,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
13,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
14,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
15,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
16,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
17,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
18,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
19,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
20,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
21,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
22,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
23,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
24,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
25,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
26,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
27,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
28,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
29,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
30,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
31,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
32,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
33,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
34,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
35,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
36,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
37,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
38,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
39,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
40,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
41,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
42,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
43,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
44,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
45,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
46,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
47,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
48,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
49,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
50,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
51,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
52,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
53,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
54,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
55,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
56,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
57,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
58,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
59,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
60,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
61,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
62,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
63,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
64,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
65,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
66,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
67,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
68,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
69,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
70,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
71,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
72,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
73,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
74,,,2,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
0,262.6936340332031,497.53826904296875,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
1,489.6069641113281,3.7009489922684355e+18,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
2,4.1026932237496484e+18,inf,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
3,inf,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
4,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
5,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
6,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
7,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
8,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
9,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
10,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
11,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
12,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
13,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
14,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
15,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
16,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
17,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
18,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
19,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
20,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
21,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
22,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
23,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
24,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
25,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
26,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
27,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
28,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
29,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
30,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
31,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
32,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
33,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
34,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
35,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
36,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
37,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
38,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
39,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
40,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
41,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
42,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
43,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
44,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
45,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
46,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
47,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
48,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
49,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
50,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
51,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
52,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
53,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
54,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
55,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
56,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
57,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
58,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
59,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
60,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
61,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
62,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
63,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
64,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
65,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
66,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
67,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
68,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
69,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
70,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
71,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
72,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
73,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
74,,,3,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
0,305.54046630859375,1629607.0,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
1,1471822.625,inf,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
2,inf,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
3,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
4,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
5,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
6,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
7,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
8,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
9,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
10,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
11,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
12,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
13,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
14,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
15,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
16,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
17,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
18,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
19,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
20,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
21,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
22,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
23,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
24,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
25,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
26,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
27,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
28,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
29,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
30,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
31,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
32,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
33,,,4,1,1024,128,0.01,3.0,l1_h1024_bs128_lr0.01_g3.0_w1_m0.9,1
